Symbol,Signal,Confidence,Alpha,Close,ATR,RR
ASTOR.IS,BUY,57.1,89.3,325.0,17.0,2.53
BIMAS.IS,SELL,16.5,79.1,384.5,10.75,2.64
EKGYO.IS,SELL,49.7,72.4,21.02,0.71,2.59
CCOLA.IS,SELL,14.1,68.5,84.05,3.22,2.28
TKFEN.IS,SELL,6.9,66.7,141.8,8.29,2.23
TUPRS.IS,SELL,26.3,66.6,270.75,8.14,3.12
ODAS.IS,SELL,17.4,64.4,8.53,0.36,2.68
KRDMD.IS,SELL,13.2,63.3,40.84,1.58,2.6
ENKAI.IS,BUY,65.0,61.2,89.7,2.48,2.37
THYAO.IS,SELL,4.5,61.1,326.0,9.68,2.92
EREGL.IS,SELL,4.0,61.0,41.88,1.46,2.54
DOHOL.IS,SELL,17.2,59.3,21.36,0.59,2.66
TOASO.IS,SELL,49.5,57.4,295.0,10.02,2.59
ISDMR.IS,SELL,46.4,56.6,55.6,2.11,2.73
TRMET.IS,SELL,43.7,55.9,118.8,5.15,2.48
ALARK.IS,SELL,18.8,54.7,99.75,3.21,2.33
GESAN.IS,SELL,15.9,54.0,80.9,4.05,2.44
AKSEN.IS,SELL,13.2,53.3,95.6,3.09,2.47
SASA.IS,BUY,50.6,52.6,2.52,0.09,2.89
ISCTR.IS,SELL,26.1,51.5,13.89,0.43,2.67
PETKM.IS,SELL,18.0,49.5,19.6,0.53,2.33
ENJSA.IS,BUY,71.9,48.0,99.5,2.79,2.45
KCHOL.IS,SELL,27.5,46.9,191.1,4.96,2.52
AEFES.IS,SELL,40.0,45.0,20.02,0.65,2.47
TCELL.IS,SELL,14.7,43.7,110.2,3.06,2.66
SAHOL.IS,BUY,56.1,39.0,89.45,2.44,2.9
VAKBN.IS,SELL,45.0,36.2,31.6,1.02,2.54
MGROS.IS,SELL,41.8,35.4,608.0,21.07,2.72
GUBRF.IS,SELL,39.8,35.0,413.25,18.73,2.75
GARAN.IS,SELL,38.7,34.7,128.9,3.66,2.71
HALKB.IS,SELL,27.3,31.8,39.34,1.46,2.5
TTKOM.IS,SELL,27.3,31.8,57.5,1.61,2.59
AKBNK.IS,SELL,27.0,31.8,69.1,2.52,2.96
SISE.IS,SELL,20.5,30.1,43.6,1.26,2.64
YKBNK.IS,SELL,17.0,29.2,33.96,1.37,3.02
FROTO.IS,BUY,71.7,27.9,81.05,1.72,3.17
ASELS.IS,SELL,48.5,27.1,348.5,19.62,2.41
CIMSA.IS,SELL,48.3,27.1,45.82,1.33,2.42
HEKTS.IS,SELL,48.8,22.2,3.07,0.15,3.27
ULKER.IS,SELL,46.1,21.5,96.15,1.93,3.54
PGSUS.IS,SELL,45.7,21.4,166.0,4.25,2.69
OTKAR.IS,SELL,39.9,20.0,330.5,13.82,2.55
BRISA.IS,SELL,18.4,19.6,80.9,2.64,2.32
ARCLK.IS,SELL,48.5,12.1,97.95,2.29,2.28
